"word","n"
"barbecue",77
"broths",77
"chef's",77
"fiancé",77
"firm",77
"minimal",77
"minus",77
"packaged",77
"poured",77
"scale",77
"site",77
"thinly",77
"varieties",77
"80",76
"act",76
"county",76
"forgotten",76
"http",76
"magic",76
"nonetheless",76
"pleasure",76
"recipes",76
"saucy",76
"scratch",76
"sketchy",76
"smells",76
"university",76
"河",76
"amazed",75
"amazingly",75
"burn",75
"famous",75
"finishing",75
"initially",75
"intestines",75
"kumo",75
"lake",75
"levels",75
"listen",75
"meaning",75
"obvious",75
"octopus",75
"pudding",75
"rica",75
"yung",75
"yuzu",75
"allergies",74
"bank",74
"changing",74
"clientele",74
"companion",74
"create",74
"crust",74
"dr",74
"exterior",74
"failed",74
"families",74
"heck",74
"imitation",74
"promise",74
"rocks",74
"semi",74
"stumbled",74
"unacceptable",74
"worried",74
"arrival",73
"cafeteria",73
"cashews",73
"catch",73
"coating",73
"dated",73
"details",73
"eve",73
"greet",73
"guest",73
"gummy",73
"heights",73
"mt",73
"noise",73
"nuggets",73
"occasionally",73
"owns",73
"pure",73
"restroom",73
"stopping",73
"tank",73
"test",73
"thrilled",73
"yay",73
"yelling",73
"array",72
"basis",72
"bus",72
"culinary",72
"disappoints",72
"eatery",72
"fave",72
"frankly",72
"holiday",72
"huhot",72
"i.e",72
"intestine",72
"katana",72
"lemongrass",72
"phoenix",72
"ratings",72
"row",72
"toast",72
"appointment",71
"assumed",71
"blend",71
"boss",71
"broke",71
"chin's",71
"comforting",71
"detail",71
"ha",71
"held",71
"holy",71
"ideal",71
"karaoke",71
"labeled",71
"layout",71
"mistakes",71
"mu",71
"mystery",71
"pa",71
"pricier",71
"screw",71
"stands",71
"tong",71
"apple",70
"bang",70
"beverage",70
"chops",70
"crepes",70
"current",70
"fans",70
"grille",70
"headed",70
"kabobs",70
"medina",70
"native",70
"product",70
"recognize",70
"rubber",70
"shadyside",70
"skimp",70
"skins",70
"slice",70
"starts",70
"吃",70
"是",70
